state,life_expectancy,state_abbr,poverty_rate_2023,mental_health_index
Hawaii,80.9,HI,10.92,22.553571428571427
California,80.9,CA,13.230508474576272,36.15
New York,80.7,NY,13.420634920634921,24.817857142857143
Minnesota,80.4,MN,10.193181818181818,37.15714285714286
Massachusetts,80.4,MA,10.7,37.17142857142857
Connecticut,80.3,CT,9.870000000000001,36.3
New Jersey,80.1,NJ,9.527272727272727,35.535714285714285
Washington,80.0,WA,12.55,26.583928571428572
Colorado,80.0,CO,12.447692307692307,14.5125
Vermont,79.8,VT,10.606666666666666,26.90892857142857
Utah,79.7,UT,9.763333333333332,38.542857142857144
Oregon,79.6,OR,13.82972972972973,16.55
Idaho,79.5,ID,11.471111111111112,38.042857142857144
Rhode Island,79.5,RI,10.233333333333333,37.90714285714286
New Hampshire,79.4,NH,8.545454545454545,37.47857142857143
Wisconsin,79.3,WI,10.784931506849315,37.457142857142856
Nebraska,79.2,NE,11.111702127659575,36.00714285714285
Virginia,79.1,VA,13.388805970149253,26.375
Florida,79.0,FL,14.541176470588235,25.030357142857145
Iowa,79.0,IA,10.804,36.8
Illinois,79.0,IL,12.792233009708736,24.71607142857143
Arizona,78.8,AZ,16.68125,37.028571428571425
North Dakota,78.8,ND,11.633333333333335,24.88392857142857
Texas,78.6,TX,15.63921568627451,25.644642857142856
Maryland,78.5,MD,10.764000000000001,36.02142857142857
Montana,78.4,MT,13.868421052631579,38.33571428571428
South Dakota,78.4,SD,14.22537313432836,12.825
Pennsylvania,78.3,PA,12.547058823529412,14.9
Maine,78.3,ME,11.847058823529412,38.785714285714285
Kansas,78.2,KS,11.839622641509434,37.385714285714286
Delaware,78.1,DE,10.875,36.721428571428575
Nevada,78.0,NV,11.894444444444444,37.31428571428572
Michigan,78.0,MI,13.689285714285715,37.97857142857143
Alaska,77.7,AK,13.832258064516129,37.17857142857143
Wyoming,77.7,WY,10.637500000000001,25.92857142857143
North Carolina,77.6,NC,15.364356435643565,37.65714285714286
Georgia,77.4,GA,18.139375,37.114285714285714
Indiana,77.0,IN,11.698924731182796,38.01428571428572
Missouri,76.9,MO,14.299137931034483,38.37142857142857
New Mexico,76.9,NM,19.432352941176468,38.65
Ohio,76.9,OH,12.807865168539326,38.864285714285714
South Carolina,76.8,SC,17.782978723404256,37.371428571428574
Louisiana,75.7,LA,20.927692307692308,28.692857142857143
Oklahoma,75.7,OK,17.544871794871796,38.707142857142856
Arkansas,75.7,AR,18.657894736842106,29.091071428571432
Tennessee,75.6,TN,15.717708333333334,29.185714285714283
Kentucky,75.5,KY,18.567768595041322,38.44285714285714
Alabama,75.2,AL,19.00735294117647,38.16428571428571
West Virginia,74.5,WV,17.833928571428572,40.71428571428571
Mississippi,74.4,MS,21.749397590361447,36.81428571428572
