"State"," Alcohol-Impaired Driving Deaths"," Occupant Deaths ","Location"
"WY","484","1,195","  WY  (43.23558, -108.110518)"
"NC","3,996","10,093","  NC  (35.47995, -79.180571)"
"OR","1,129","2,735","  OR  (44.567912, -120.156945)"
"NY","3,605","7,013","  NY  (42.826892, -75.544286)"
"AL","2,997","7,754","  AL  (32.839182, -86.631125)"
"RI","265","429","  RI  (41.707447, -71.522488)"
"WI","2,300","4,572","  WI  (44.395526, -89.834513)"
"PA","4,355","9,656","  PA  (40.789676, -77.858055)"
"NJ","1,747","3,832","  NJ  (40.104655, -74.386686)"
"VA","2,518","6,335","  VA  (37.542699, -78.45822)"
"TX","13,171","24,013","  TX  (31.827233, -99.423022)"
"DE","430","767","  DE  (39.008676, -75.574561)"
"MA","1,309","2,465","  MA  (42.268546, -72.085064)"
"NV","968","1,962","  NV  (39.491833, -117.070159)"
"NE","631","1,919","  NE  (41.640503, -99.367122)"
"MS","2,367","6,100","  MS  (32.738663, -89.537312)"
"IA","967","2,970","  IA  (42.46942, -93.815856)"
"WA","1,799","3,542","  WA  (47.517368, -120.467672)"
"MI","2,710","6,699","  MI  (44.66399, -84.711206)"
"MT","897","1,778","  MT  (47.062617, -109.430168)"
"NH","386","853","  NH  (43.657736, -71.500736)"
"KY","1,900","6,133","  KY  (37.64591, -84.774043)"
"SD","469","1,107","  SD  (44.35371, -100.373709)"
"ME","454","1,231","  ME  (45.252223, -68.986647)"
"MD","1,586","3,454","  MD  (39.290443, -76.612333)"
"HI","453","587","  HI  (21.30992, -157.858158)"
"AR","1,636","4,526","  AR  (34.748745, -92.275105)"
"FL","8,053","16,041","  FL  (28.915325, -81.922409)"
"MN","1,274","3,248","  MN  (46.357661, -94.793397)"
"DC","96","130","  DC  (38.892062, -77.019912)"
"GA","3,513","10,406","  GA  (32.836038, -83.631709)"
"IN","2,171","5,966","  IN  (39.76845, -86.156212)"
"CT","1,049","1,806","  CT  (41.544654, -72.651713)"
"VT","199","535","  VT  (43.622479, -72.51927)"
"SC","3,723","6,648","  SC  (34.009286, -81.037094)"
"ID","661","1,725","  ID  (43.680635, -114.364237)"
"OK","2,095","5,711","  OK  (35.468494, -97.521264)"
"OH","3,457","8,223","  OH  (40.056807, -82.405897)"
"KS","1,142","3,248","  KS  (38.345528, -98.201847)"
"TN","3,154","8,357","  TN  (35.681402, -85.774444)"
"LA","2,875","6,073","  LA  (31.2931, -92.463284)"
"AK","205","439","  AK  (64.836661, -147.738891)"
"NM","1,166","2,766","  NM  (34.520396, -106.244402)"
"CA","9,791","20,733","  CA  (37.640735, -121.002435)"
"CO","1,599","3,521","  CO  (38.841772, -106.132562)"
"WV","1,040","2,762","  WV  (38.668501, -80.709421)"
"MO","3,004","7,219","  MO  (38.636168, -92.566292)"
"UT","456","1,882","  UT  (39.359772, -111.584173)"
"IL","3,554","7,348","  IL  (40.477092, -88.993221)"
"ND","539","1,078","  ND  (47.475879, -100.121011)"
"AZ","2,656","5,712","  AZ  (34.869712, -111.760902)"
